State,Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
VA,14.2,0.875,0.584,,,
VA,45.3,0.775,0.451,,81.2,0.451
VA,43,0.825,0.483,,,
VA,37,0.86,0.471,,59.2,0.286
VA,32.7,0.92,0.497,,,
VA,87.1,,0.277,,,0.65
VA,85.6,,0.3,,,
VA,44.5,0.81,0.553,13.3,79.9,0.523
VA,44.2,0.77,0.564,11.6,38,
VA,37.4,0.8,0.68,10.2,69.3,0.417
VA,35.4,0.8,0.681,9.5,74.2,
VA,15.7,0.91,0.719,4.3,33.5,0.093
VA,14.8,0.9,0.728,5,28.5,
VA,12.9,0.824,0.574,9,80.2,0.591
VA,12.1,0.847,0.582,9.5,52.9,
VA,26.2,0.8,0.734,8.3,51.9,0.311
VA,24.7,0.83,0.73,7.5,47.5,
VA,55.2,0.81,0.479,11.3,70.5,0.492
VA,52.2,0.78,0.517,10.9,54.6,
VA,79.5,0.71,0.393,12.7,70.1,0.573
VA,79.7,0.77,0.42,10.2,66.5,
VA,25.3,0.84,0.691,,52.7,0.282
VA,21.7,0.85,0.682,,47.4,
VA,22.3,0.83,0.737,,44,0.223
VA,21.2,,0.72,,45.3,
VA,31.3,0.87,0.652,9.4,73.9,0.216
VA,31.2,0.89,0.667,10,,
VA,29,0.859,0.549,,70.1,0.275
VA,27.1,0.86,0.558,,,
VA,50.5,0.725,0.368,,,0.62
VA,47.8,0.775,0.466,,,
VA,38.6,0.875,0.495,,,0.639
VA,34.6,0.825,0.493,,,
VA,54.9,0.85,0.484,,47.9,0.496
VA,56.9,0.83,0.51,,53.6,
VA,6.2,,0.717,,,0.248
VA,7.8,,0.616,,,
VA,13,0.92,0.833,4.9,30,0.124
VA,12.1,0.92,0.833,4.7,28.7,
VA,37.1,0.86,0.446,,51.4,0.362
VA,36.2,0.85,0.463,,41.3,
VA,49.6,0.675,0.358,,,0.563
VA,50.2,0.725,0.385,,,
VA,27,0.75,0.657,8.9,78.3,0.527
VA,24.5,0.8,0.659,9.5,75.4,
VA,33.1,0.825,0.452,,,0.28
VA,30.8,0.925,0.503,,,
VA,40.6,0.82,0.547,,,0.45
VA,32.4,0.825,0.599,,,
VA,49.6,0.69,0.489,5.1,63.3,0.383
VA,49.4,0.74,0.518,5.7,43.9,
VA,67.3,0.775,0.588,,116.8,0.631
VA,70,0.825,0.563,,83.9,
VA,24.3,0.875,0.592,,,0.286
VA,21.5,0.925,0.588,,,
VA,46,0.83,0.465,,69.1,0.504
VA,44.7,0.78,0.492,,94.7,
VA,29.5,0.825,0.574,,,0.414
VA,28.2,0.825,0.634,,,
VA,13.2,0.83,0.747,5.3,46.7,0.304
VA,12.7,0.8,0.765,5.2,46.9,
VA,37.1,0.775,0.429,,,0.394
VA,33.6,0.825,0.449,,95.4,
VA,21.5,0.83,0.598,,,0.179
VA,21.4,0.8,0.596,,,
VA,47.7,0.76,0.656,10.5,92.5,0.454
VA,46.1,0.78,0.644,9.8,97.8,
VA,52.3,0.68,0.646,11.3,121,0.555
VA,50.1,0.71,0.66,11.5,108.1,
VA,60.5,0.625,0.392,,,0.673
VA,56.7,0.725,0.392,,,
VA,54.7,0.725,0.491,,,0.438
VA,47.9,0.825,0.487,,,
VA,47.5,0.825,0.577,,,0.451
VA,55.5,0.925,0.661,,,
VA,49.9,0.725,0.4,,,0.522
VA,52.2,0.725,0.382,,76.7,
VA,35.8,0.88,0.532,,48.9,0.305
VA,33.7,0.87,0.534,,65.1,
VA,40.9,0.9,0.381,,56.6,0.431
VA,39.7,0.93,0.401,,73.3,
VA,35.1,0.875,0.449,,75.9,0.481
VA,31.3,0.925,0.492,,,
VA,96,0.59,0.355,11,177.3,0.639
VA,97.1,0.68,0.377,11.2,145.9,
VA,34.5,0.83,0.535,9.4,60.4,0.453
VA,31.6,0.85,0.535,8.8,49.2,
VA,11.1,0.9,0.742,,,0.1
VA,10.8,0.94,0.781,,,
VA,68.6,0.72,0.616,12.5,100.5,0.518
VA,65.4,0.76,0.611,12.1,102,
VA,12.9,0.85,0.55,,38.2,0.136
VA,12.9,0.89,0.574,,,
VA,18,0.68,0.514,,,0.553
VA,17,0.725,0.536,,62.2,
VA,23.6,0.77,0.482,,49.4,0.262
VA,23.5,0.79,0.515,,52,
VA,31.6,0.84,0.68,6.5,50.6,0.283
VA,29.5,0.84,0.691,6.3,45.2,
VA,49.2,0.77,0.523,10.8,68.7,0.436
VA,49.9,0.75,0.531,10.6,44.7,
VA,9.1,0.875,0.715,,,0.375
VA,10.1,0.875,0.753,,,
VA,24,0.875,0.554,,,0.278
VA,22,,0.6,,,
VA,44,0.775,0.36,,,0.442
VA,39,0.775,0.334,,,
VA,47.3,0.59,0.641,13.2,123.4,0.659
VA,44.7,0.61,0.657,13,110.4,
VA,21.7,0.89,0.72,5.6,38.3,0.188
VA,19.2,0.88,0.718,6.3,36.4,
VA,74.3,0.68,0.567,11.3,97.6,0.54
VA,73.6,0.69,0.56,10.3,101.5,
