Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
71.6,0.76,0.438,10.9,94.6,
50.1,0.792,0.56,11.2,66.7,0.426
48.1,0.823,0.562,9.4,51.4,0.44
33.8,0.81,0.489,9.6,67.5,0.379
31.5,0.86,0.527,11,43.6,0.401
49.1,0.809,0.519,8.2,72.2,0.461
48.1,0.848,0.516,8.6,51.3,0.485
66.8,0.743,0.563,,,0.436
65,0.809,0.618,,,0.468
36.7,0.78,0.584,,72.4,0.444
36.3,0.82,0.626,,60.7,0.485
56.4,,0.369,,,0.616
51.9,,0.336,,,0.598
34.2,0.891,0.658,6.7,41,0.272
30.9,0.902,0.666,7,38.5,0.28
76.7,0.68,0.431,14.3,91.6,0.699
71.5,0.68,0.439,12.5,58.9,0.699
26.2,0.814,0.776,6.6,55,0.279
24.5,0.815,0.776,6.8,52.1,0.29
52.8,0.8,0.435,13.7,73.8,0.692
52.1,0.825,0.469,,65.3,0.728
60.9,0.825,0.56,,79.2,0.718
55.9,0.825,0.497,,,0.729
9.9,0.87,0.712,9.2,60.4,0.275
10.1,0.84,0.724,8.4,38.9,0.305
56.5,0.75,0.585,9.1,80,0.52
54.1,0.8,0.584,9.3,84.6,0.535
50.6,0.81,0.494,7.4,60.5,0.523
50.1,0.87,0.491,7.1,61.8,0.533
60.3,0.69,0.521,12.2,65,0.579
57.3,0.73,0.515,11.4,61.4,0.556
48.8,0.83,0.474,9.5,69,0.422
46.8,0.82,0.492,9.7,53.9,0.455
40.2,0.775,0.51,,,0.477
41.7,0.82,0.522,,70.7,0.469
